City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-20.47,100,58,1.73,RU,1698695908
1,adamstown,-25.066,-130.1015,22.71,75,100,4.26,PN,1698695908
2,hawaiian paradise park,19.5933,-154.9731,27.16,92,100,2.57,US,1698695616
3,keflavik,64.0049,-22.5624,3.24,75,40,6.17,IS,1698695922
4,port-aux-francais,-49.35,70.2167,2.91,80,100,15.76,TF,1698695924
5,bubaque,11.2833,-15.8333,28.66,66,100,0.69,GW,1698695925
6,bikenibeu village,1.3673,173.1241,24.98,94,100,0.0,KI,1698695940
7,blackmans bay,-43.0167,147.3167,7.51,70,15,0.45,AU,1698695947
8,geraldton,-28.7667,114.6,12.23,76,2,3.6,AU,1698695951
9,acaponeta,22.4964,-105.3594,30.77,59,54,1.83,MX,1698695952
10,port elizabeth,-33.918,25.5701,16.16,77,0,8.23,ZA,1698695952
11,west island,-12.1568,96.8225,25.99,83,100,5.66,CC,1698695953
12,ribeira grande,38.5167,-28.7,19.32,77,40,7.2,PT,1698695954
13,margaret river,-33.95,115.0667,8.73,90,11,4.35,AU,1698695955
14,inderbor,48.55,51.7833,5.0,74,57,3.39,KZ,1698695955
15,yangliuqing,39.1375,116.9997,13.97,93,3,1.21,CN,1698695956
16,mount isa,-20.7333,139.5,21.87,68,77,0.0,AU,1698695956
17,mendi,-6.1761,143.6513,12.37,98,100,1.52,PG,1698695956
18,waitangi,-43.9535,-176.5597,13.79,82,67,5.81,NZ,1698695957
19,albany,42.6001,-73.9662,9.23,89,100,0.45,US,1698695764
20,saint-paul,-21.0096,55.2707,24.06,91,35,0.89,RE,1698695958
21,haiku-pauwela,20.9219,-156.3051,27.8,71,0,4.12,US,1698695959
22,susuman,62.7833,148.1667,-16.68,97,86,0.45,RU,1698695965
23,luderitz,-26.6481,15.1594,18.86,46,0,4.63,NA,1698695965
24,utrik,11.2278,169.8474,28.13,81,96,9.29,MH,1698695966
25,ushuaia,-54.8,-68.3,4.81,65,75,9.77,AR,1698695967
26,howrah,22.5892,88.3103,25.0,78,60,0.0,IN,1698695967
27,puerto ayora,-0.7393,-90.3518,28.98,88,99,3.13,EC,1698695968
28,totness,5.8833,-56.3167,29.2,73,7,6.43,SR,1698695968
29,puerto natales,-51.7236,-72.4875,7.25,39,0,1.54,CL,1698695968
30,tura,25.5198,90.2201,20.06,86,99,1.63,IN,1698695969
31,badger,64.8,-147.5333,-2.07,91,75,0.0,US,1698695969
32,edinburgh of the seven seas,-37.0676,-12.3116,12.45,93,100,13.41,SH,1698695971
33,invercargill,-46.4,168.35,8.34,96,93,0.45,NZ,1698696019
34,college,64.8569,-147.8028,-1.07,89,75,0.0,US,1698695919
35,yellowknife,62.456,-114.3525,-0.33,90,75,6.17,CA,1698696020
36,touros,-5.1989,-35.4608,26.15,68,9,6.75,BR,1698696021
37,tolanaro,-25.0319,46.9987,25.04,78,75,4.12,MG,1698696022
38,thompson,55.7435,-97.8558,-5.91,68,100,6.69,CA,1698696023
39,malabar,-33.9667,151.25,26.84,21,0,8.23,AU,1698696023
40,la passe,45.5549,-0.8967,14.43,80,26,10.05,FR,1698696024
41,chamical,-30.36,-66.314,24.81,37,93,7.6,AR,1698695906
42,grytviken,-54.2811,-36.5092,5.24,76,10,4.25,GS,1698695959
43,fort bragg,35.139,-79.006,30.08,44,0,7.72,US,1698695930
44,tabora,-5.0167,32.8,26.64,34,100,2.76,TZ,1698696025
45,chitradurga,14.2333,76.4,22.1,80,100,3.0,IN,1698696026
46,bel ombre,-4.6167,55.4167,25.91,83,40,0.51,SC,1698696026
47,chernyshevskiy,63.0128,112.4714,-28.2,100,81,1.59,RU,1698696026
48,kodiak,57.79,-152.4072,7.73,93,100,3.09,US,1698696027
49,cabo san lucas,22.8909,-109.9124,31.45,63,1,2.74,MX,1698696027
50,avarua,-21.2078,-159.775,25.03,73,75,6.69,CK,1698696028
51,weno,7.4515,151.8468,28.46,78,89,5.78,FM,1698696028
52,papatowai,-46.5619,169.4708,10.75,82,100,1.47,NZ,1698696029
53,minas de marcona,-15.2119,-75.1103,28.07,30,11,4.93,PE,1698696029
54,kristiansund,63.1115,7.732,-0.64,74,0,1.03,NO,1698696030
55,georgetown,5.4112,100.3354,27.19,92,20,2.06,MY,1698695965
56,atafu village,-8.5421,-172.5159,28.65,76,91,6.42,TK,1698696031
57,margate,51.3813,1.3862,9.94,92,100,7.03,GB,1698696003
58,hamilton,39.1834,-84.5333,8.35,85,100,2.24,US,1698696032
59,whitehorse,60.7161,-135.0538,1.56,88,75,1.03,CA,1698696032
60,sorong,-0.8833,131.25,27.43,75,17,1.35,ID,1698696033
61,lihue,21.9789,-159.3672,27.08,76,86,2.04,US,1698696033
62,coahuayana de hidalgo,18.7,-103.6583,30.57,68,41,2.59,MX,1698696034
63,urcos,-13.6861,-71.6228,25.94,51,93,4.69,PE,1698696035
64,menaka,15.9182,2.4022,32.14,9,0,4.29,ML,1698696037
65,hauterive,46.0901,3.4459,12.42,86,95,2.77,FR,1698696039
66,qaqortoq,60.7167,-46.0333,5.9,57,100,10.04,GL,1698696039
67,san patricio,28.017,-97.5169,10.94,67,100,8.89,US,1698696040
68,iqaluit,63.7506,-68.5145,-11.15,72,75,9.26,CA,1698696040
69,enewetak,11.3474,162.3373,28.65,78,100,9.37,MH,1698696040
70,taoudenni,22.6783,-3.9836,33.33,9,74,2.23,ML,1698696041
71,olonkinbyen,70.9221,-8.7187,1.17,63,100,5.74,SJ,1698696043
72,shatrovo,56.5167,64.6333,-4.92,96,97,2.77,RU,1698696044
73,talnakh,69.4865,88.3972,-17.11,94,100,2.82,RU,1698696044
74,pahrump,36.2083,-115.9839,16.91,14,0,2.68,US,1698695885
75,tazacorte,28.629,-17.9293,24.54,93,40,1.54,ES,1698696045
76,inhambane,-23.865,35.3833,18.99,88,75,4.63,MZ,1698696046
77,gadzhiyevo,69.2551,33.3362,-3.44,94,100,8.39,RU,1698696047
78,bethel,41.3712,-73.414,13.34,89,100,0.45,US,1698695991
79,vila velha,-20.3297,-40.2925,28.97,79,0,8.23,BR,1698695755
80,labrador city,52.9463,-66.9114,-2.05,43,40,2.06,CA,1698696047
81,solnechnyy,50.7214,136.6319,0.57,67,21,1.65,RU,1698696048
82,mukalla,14.5425,49.1242,25.53,82,42,0.73,YE,1698696048
83,crane,31.3974,-102.3501,5.84,36,99,3.47,US,1698696048
84,jijiga,9.35,42.8,19.37,75,100,2.34,ET,1698696048
85,zakynthos,37.7914,20.8953,20.36,67,0,2.09,GR,1698696049
86,afaahiti,-17.75,-149.2833,27.93,84,22,9.29,PF,1698696049
87,isafjordur,66.0755,-23.124,5.0,66,100,3.03,IS,1698696049
88,fontanelas,38.8472,-9.4372,16.51,78,100,1.96,PT,1698696049
89,arraial do cabo,-22.9661,-42.0278,30.98,78,0,3.6,BR,1698696050
90,balykshi,47.0667,51.8667,2.0,93,1,2.0,KZ,1698696050
91,anadyr,64.75,177.4833,-0.72,100,75,7.0,RU,1698696050
92,an nuhud,12.7,28.4333,30.58,19,31,2.24,SD,1698696050
93,ossi,40.6772,8.5928,19.27,84,100,7.08,IT,1698696051
94,tsiombe,-25.3,45.4833,22.61,80,100,2.62,MG,1698696051
95,palikir - national government center,6.9248,158.1611,25.41,94,75,0.0,FM,1698695958
96,balnearia,-31.0088,-62.6673,15.46,61,100,6.25,AR,1698696051
97,nar'yan-mar,67.6713,53.087,-6.61,94,100,6.71,RU,1698696052
98,betio village,1.358,172.9211,25.02,75,36,4.36,KI,1698696052
99,dajal,29.5577,70.3762,25.61,30,22,0.92,PK,1698696052
100,bilibino,68.0546,166.4372,-10.12,52,58,2.75,RU,1698696052
101,francistown,-21.17,27.5079,12.66,80,100,8.15,BW,1698695850
102,port mathurin,-19.6833,63.4167,24.89,81,8,8.05,MU,1698696053
103,ulsteinvik,62.3432,5.8487,3.75,59,0,2.68,NO,1698696053
104,remire-montjoly,4.9167,-52.2667,32.02,62,20,5.14,GF,1698696053
105,mil'kovo,55.6078,37.7956,8.56,99,100,4.94,RU,1698696053
106,punta arenas,-53.15,-70.9167,8.01,49,40,5.66,CL,1698696054
107,skelleftea,64.7507,20.9528,-6.8,100,100,2.57,SE,1698696054
108,at taj,24.2049,23.2857,22.84,30,0,4.16,LY,1698696054
109,zvishavane,-20.3267,30.0665,12.24,87,100,5.13,ZW,1698696054
110,lakhdenpokh'ya,61.5198,30.1992,-0.7,94,99,2.09,RU,1698696055
111,chonchi,-42.6128,-73.8092,11.18,77,81,2.3,CL,1698696055
112,dwarka,22.2394,68.9678,27.77,64,0,4.77,IN,1698696055
113,iskateley,67.6803,53.1512,-6.66,94,100,6.71,RU,1698696055
114,retford,53.3221,-0.9432,10.52,89,100,4.6,GB,1698696022
115,vorgashor,67.5833,63.95,-13.27,90,100,3.63,RU,1698696056
116,laguna,38.421,-121.4238,22.79,34,0,0.45,US,1698696056
117,narasannapeta,18.4167,84.05,20.69,84,40,1.76,IN,1698696056
118,micheweni,-4.9667,39.8333,26.65,84,57,3.96,TZ,1698696056
119,turbat,26.0023,63.044,26.78,61,6,2.15,PK,1698696057
120,maloyaroslavets,55.0146,36.4719,6.61,95,100,4.28,RU,1698695900
121,wailua homesteads,22.0669,-159.378,27.29,75,76,1.34,US,1698696057
122,aitape,-3.1374,142.3475,25.05,82,99,1.0,PG,1698696057
123,oamaru,-45.0784,170.9801,12.99,88,98,4.03,NZ,1698696058
124,lompoc,34.6391,-120.4579,27.61,16,0,1.79,US,1698696051
125,kavaratti,10.5669,72.642,28.07,69,100,0.88,IN,1698696058
